Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
0,3,1,22.0,1,0,7.25,147,2,12
1,1,0,38.0,1,0,71.2833,81,0,13
1,3,0,26.0,0,0,7.925,147,2,9
1,1,0,35.0,1,0,53.1,55,2,13
0,3,1,35.0,0,0,8.05,147,2,12
0,3,1,28.0,0,0,8.4583,147,1,12
0,1,1,54.0,0,0,51.8625,129,2,12
0,3,1,2.0,3,1,21.075,147,2,8
1,3,0,27.0,0,2,11.1333,147,2,13
1,2,0,14.0,1,0,30.0708,147,0,13
1,3,0,4.0,1,1,16.7,145,2,9
1,1,0,58.0,0,0,26.55,49,2,9
0,3,1,20.0,0,0,8.05,147,2,12
0,3,1,39.0,1,5,31.275,147,2,12
0,3,0,14.0,0,0,7.8542,147,2,9
1,2,0,55.0,0,0,16.0,147,2,13
0,3,1,2.0,4,1,29.125,147,1,8
1,2,1,28.0,0,0,13.0,147,2,12
0,3,0,31.0,1,0,18.0,147,2,13
1,3,0,28.0,0,0,7.225,147,0,13
0,2,1,35.0,0,0,26.0,147,2,12
1,2,1,34.0,0,0,13.0,111,2,12
1,3,0,15.0,0,0,8.0292,147,1,9
1,1,1,28.0,0,0,35.5,13,2,12
0,3,0,8.0,3,1,21.075,147,2,9
1,3,0,38.0,1,5,31.3875,147,2,13
0,3,1,28.0,0,0,7.225,147,0,12
0,1,1,19.0,3,2,263.0,63,2,12
1,3,0,28.0,0,0,7.8792,147,1,9
0,3,1,28.0,0,0,7.8958,147,2,12
0,1,1,40.0,0,0,27.7208,147,0,3
1,1,0,28.0,1,0,146.5208,41,0,13
1,3,0,28.0,0,0,7.75,147,1,9
0,2,1,66.0,0,0,10.5,147,2,12
0,1,1,28.0,1,0,82.1708,147,0,12
0,1,1,42.0,1,0,52.0,147,2,12
1,3,1,28.0,0,0,7.2292,147,0,12
0,3,1,21.0,0,0,8.05,147,2,12
0,3,0,18.0,2,0,18.0,147,2,9
1,3,0,14.0,1,0,11.2417,147,0,9
0,3,0,40.0,1,0,9.475,147,2,13
0,2,0,27.0,1,0,21.0,147,2,13
0,3,1,28.0,0,0,7.8958,147,0,12
1,2,0,3.0,1,2,41.5792,147,0,9
1,3,0,19.0,0,0,7.8792,147,1,9
0,3,1,28.0,0,0,8.05,147,2,12
0,3,1,28.0,1,0,15.5,147,1,12
1,3,0,28.0,0,0,7.75,147,1,9
0,3,1,28.0,2,0,21.6792,147,0,12
0,3,0,18.0,1,0,17.8,147,2,13
0,3,1,7.0,4,1,39.6875,147,2,8
0,3,1,21.0,0,0,7.8,147,2,12
1,1,0,49.0,1,0,76.7292,101,0,13
1,2,0,29.0,1,0,26.0,147,2,13
0,1,1,65.0,0,1,61.9792,23,0,12
1,1,1,28.0,0,0,35.5,71,2,12
1,2,0,21.0,0,0,10.5,147,2,9
0,3,1,28.5,0,0,7.2292,147,0,12
1,2,0,5.0,1,2,27.75,147,2,9
0,3,1,11.0,5,2,46.9,147,2,8
0,3,1,22.0,0,0,7.2292,147,0,12
1,1,0,38.0,0,0,80.0,21,3,9
0,1,1,45.0,1,0,83.475,80,2,12
0,3,1,4.0,3,2,27.9,147,2,8
0,1,1,28.0,0,0,27.7208,147,0,12
1,3,1,28.0,1,1,15.2458,147,0,8
1,2,0,29.0,0,0,10.5,142,2,13
0,3,1,19.0,0,0,8.1583,147,2,12
1,3,0,17.0,4,2,7.925,147,2,9
0,3,1,26.0,2,0,8.6625,147,2,12
0,2,1,32.0,0,0,10.5,147,2,12
0,3,0,16.0,5,2,46.9,147,2,9
0,2,1,21.0,0,0,73.5,147,2,12
0,3,1,26.0,1,0,14.4542,147,0,12
1,3,1,32.0,0,0,56.4958,147,2,12
0,3,1,25.0,0,0,7.65,140,2,12
0,3,1,28.0,0,0,7.8958,147,2,12
0,3,1,28.0,0,0,8.05,147,2,12
